phase,count
0.0,39
0.031415926535897934,41
0.06283185307179587,44
0.0942477796076938,46
0.12566370614359174,49
0.15707963267948966,52
0.1884955592153876,56
0.21991148575128555,60
0.25132741228718347,65
0.2827433388230814,71
0.3141592653589793,78
0.3455751918948773,87
0.3769911184307752,98
0.4084070449666731,113
0.4398229715025711,130
0.471238898038469,148
0.5026548245743669,167
0.5340707511102649,183
0.5654866776461628,196
0.5969026041820608,205
0.6283185307179586,211
0.6597344572538566,215
0.6911503837897546,217
0.7225663103256524,217
0.7539822368615504,216
0.7853981633974484,215
0.8168140899333463,213
0.8482300164692442,210
0.8796459430051422,207
0.9110618695410401,204
0.942477796076938,200
0.9738937226128359,196
1.0053096491487339,192
1.0367255756846319,187
1.0681415022205298,183
1.0995574287564276,178
1.1309733552923256,173
1.1623892818282235,168
1.1938052083641215,162
1.2252211349000195,157
1.2566370614359172,152
1.2880529879718152,146
1.3194689145077132,141
1.3508848410436112,136
1.3823007675795091,131
1.4137166941154071,126
1.4451326206513049,121
1.4765485471872029,116
1.5079644737231008,111
1.5393804002589988,106
1.5707963267948968,102
1.6022122533307945,98
1.6336281798666925,94
1.6650441064025905,90
1.6964600329384885,86
1.7278759594743864,82
1.7592918860102844,79
1.7907078125461822,75
1.8221237390820801,72
1.8535396656179781,69
1.884955592153876,66
1.916371518689774,64
1.9477874452256718,61
1.9792033717615698,59
2.0106192982974678,56
2.0420352248333655,54
2.0734511513692637,52
2.1048670779051615,51
2.1362830044410597,49
2.1676989309769574,47
2.199114857512855,46
2.2305307840487534,45
2.261946710584651,44
2.2933626371205493,43
2.324778563656447,42
2.356194490192345,41
2.387610416728243,40
2.419026343264141,39
2.450442269800039,38
2.4818581963359367,36
2.5132741228718345,35
2.5446900494077327,32
2.5761059759436304,28
2.6075219024795286,24
2.6389378290154264,19
2.6703537555513246,14
2.7017696820872223,10
2.73318560862312,7
2.7646015351590183,5
2.796017461694916,4
2.8274333882308142,3
2.858849314766712,3
2.8902652413026098,3
2.921681167838508,3
2.9530970943744057,3
2.984513020910304,3
3.0159289474462017,3
3.0473448739820994,3
3.0787608005179976,3
3.1101767270538954,3
3.1415926535897936,3
3.1730085801256913,3
3.204424506661589,3
3.2358404331974873,3
3.267256359733385,3
3.298672286269283,3
3.330088212805181,3
3.3615041393410787,3
3.392920065876977,3
3.4243359924128747,3
3.455751918948773,3
3.4871678454846706,3
3.518583772020569,3
3.5499996985564666,3
3.5814156250923643,3
3.6128315516282625,3
3.6442474781641603,3
3.6756634047000585,3
3.7070793312359562,3
3.738495257771854,3
3.769911184307752,3
3.80132711084365,3
3.832743037379548,3
3.864158963915446,3
3.8955748904513436,3
3.926990816987242,3
3.9584067435231396,3
3.989822670059038,3
4.0212385965949355,3
4.052654523130833,3
4.084070449666731,3
4.11548637620263,3
4.1469023027385274,3
4.178318229274425,3
4.209734155810323,3
4.241150082346221,3
4.272566008882119,3
4.303981935418017,3
4.335397861953915,3
4.366813788489813,3
4.39822971502571,3
4.429645641561609,3
4.461061568097507,3
4.4924774946334045,3
4.523893421169302,3
4.5553093477052,3
4.586725274241099,3
4.618141200776996,3
4.649557127312894,3
4.680973053848792,4
4.71238898038469,4
4.743804906920588,4
4.775220833456486,4
4.806636759992384,4
4.838052686528282,4
4.869468613064179,4
4.900884539600078,4
4.932300466135976,4
4.9637163926718735,4
4.995132319207771,4
5.026548245743669,4
5.057964172279568,4
5.089380098815465,4
5.120796025351363,5
5.152211951887261,5
5.1836278784231595,5
5.215043804959057,5
5.246459731494955,5
5.277875658030853,5
5.3092915845667505,6
5.340707511102649,6
5.372123437638547,6
5.403539364174445,6
5.4349552907103424,7
5.46637121724624,7
5.497787143782139,7
5.529203070318037,8
5.560618996853934,8
5.592034923389832,9
5.62345084992573,9
5.6548667764616285,10
5.686282702997526,10
5.717698629533424,11
5.749114556069322,12
5.7805304826052195,13
5.811946409141118,14
5.843362335677016,15
5.874778262212914,16
5.906194188748811,17
5.937610115284709,18
5.969026041820608,20
6.000441968356506,21
6.031857894892403,23
6.063273821428301,25
6.094689747964199,27
6.1261056745000975,29
6.157521601035995,32
6.188937527571893,35
6.220353454107791,38
6.2517693806436885,41
