Time,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64
28.905,19,56,102,410,1445,1534,983,803,823,804,714,544,387,307,297,277,257,259,263,210,169,165,153,126,98,86,65,34,22,17,12,8,12,15,9,18,7,8,8,13,7,5,5,3,9,8,9,12,9,9,10,9,10,11,10,8,7,11,10,7,7,9,10,14
28.91,49,52,134,755,1249,1163,1084,981,788,736,692,569,412,309,299,281,253,248,240,207,185,162,160,137,105,77,68,40,21,17,12,14,9,12,12,16,10,12,6,11,9,9,4,5,5,7,7,11,9,11,13,6,9,12,9,12,10,5,8,12,7,9,8,9
28.915,37,71,242,679,1159,1188,1101,928,766,733,712,600,443,351,318,279,240,241,249,227,176,163,141,123,105,84,60,42,19,16,15,16,12,10,13,14,17,6,14,6,11,7,9,3,3,7,7,9,10,8,10,12,8,10,10,8,13,10,7,8,10,5,12,7
28.92,21,62,118,469,1380,1550,1112,945,756,663,572,492,436,376,331,306,282,241,229,219,196,165,132,119,109,86,64,43,23,16,14,8,19,16,11,11,17,14,11,8,12,5,10,6,3,4,8,5,7,10,12,9,9,11,12,9,7,14,12,7,7,8,7,8
28.925,19,48,84,445,1487,1504,1232,930,711,647,607,523,435,350,319,330,260,224,202,192,186,162,130,127,104,85,78,57,26,18,18,13,10,20,16,11,11,21,11,12,12,8,7,9,5,5,4,6,8,8,6,13,8,10,13,9,8,7,10,17,9,4,6,11
28.93,32,49,62,392,1284,1650,1266,987,795,674,592,535,431,341,336,323,242,231,206,190,190,161,139,113,102,93,59,43,26,15,16,21,7,15,16,14,13,11,18,11,12,10,8,9,11,5,2,6,4,6,11,11,11,8,8,11,12,9,7,13,12,5,7,5
28.935,39,38,91,630,1229,1265,1281,1036,824,688,619,561,459,363,337,304,236,242,215,194,191,160,143,125,103,83,57,37,16,14,13,19,16,11,14,15,10,11,17,7,17,15,5,8,10,13,3,6,4,3,6,10,13,10,9,9,13,10,6,11,12,6,7,6
28.94,31,28,77,710,1244,1368,1168,1088,840,592,538,495,432,395,335,334,294,225,246,229,199,176,150,127,101,91,35,24,17,9,15,14,20,5,19,15,7,13,15,7,11,16,12,8,8,13,4,13,3,3,4,6,13,8,11,7,12,8,14,9,12,10,8,2
28.945,25,30,107,494,1200,1377,1253,1172,820,655,599,542,451,393,338,283,264,244,242,220,196,173,136,118,111,79,38,22,13,10,10,13,19,15,12,16,13,8,11,18,9,8,19,8,7,11,7,11,7,5,3,5,6,12,9,12,6,11,11,11,7,16,9,5
28.95,15,47,207,463,1166,1088,1229,1239,909,738,644,585,471,388,332,282,253,239,239,232,200,155,123,130,97,80,35,16,14,5,11,11,17,20,12,9,19,12,6,13,13,10,13,13,7,9,11,8,8,8,6,3,3,13,7,10,12,6,9,15,7,11,12,8
28.955,22,35,56,380,1287,1237,1369,1225,886,769,616,504,415,366,311,314,258,253,243,235,199,168,131,119,106,75,40,15,9,12,4,13,8,22,16,13,13,18,7,6,17,6,14,13,9,9,11,8,11,6,9,2,6,3,11,13,9,9,9,11,10,11,13,5
28.96,23,32,43,362,1134,1479,1418,1153,885,752,637,529,439,331,304,274,265,245,237,230,197,168,143,112,116,75,51,19,7,9,9,5,11,10,25,16,11,15,16,5,11,15,11,10,11,10,7,14,6,10,8,3,5,4,10,14,8,7,9,13,8,9,14,9
28.965,30,41,45,353,1104,1423,1458,1202,926,711,666,541,429,348,289,283,250,250,258,206,196,173,134,119,108,85,45,21,7,6,8,7,9,11,14,24,12,14,18,10,9,15,9,6,9,14,8,9,11,11,4,12,1,5,5,14,11,5,10,9,12,9,8,11
